id;odo_document_mime_type_cd;odo_document_type_cd;odo_external_storage_link;odo_external_storage_file_name;odo_document_due_to_cd;odo_document_due_from_cd;odo_document_due_dt;odo_document_rcvd_dt;odo_document_status_cd;odo_document;odo_document_content_type
1;even-keeled Iranian Rial Books;sky blue;teal engineer;e-commerce Balboa US Dollar Bike;directional;technologies Steel communities;2020-05-05;2020-05-06;UAE Dirham;../fake-data/blob/hipster.png;image/png
2;Concrete Data;deposit;feed Chips;Sleek;payment;ability;2020-05-05;2020-05-05;New Jersey red;../fake-data/blob/hipster.png;image/png
3;Tanzania Savings Account;Tasty Rubber Shoes coherent;Bike Branding SMS;open-source;intuitive Azerbaijanian Manat;RAM New Mexico Via;2020-05-05;2020-05-05;static Luxembourg;../fake-data/blob/hipster.png;image/png
4;evolve Ergonomic Metal Table c;revolutionary Checking Account;Gloves;optical program Berkshire;Turkmenistan;bifurcated;2020-05-06;2020-05-05;Money Market Account Strategis;../fake-data/blob/hipster.png;image/png
5;benchmark transmitter Iowa;knowledge user black Steel;Metal Iranian Rial;wireless input;Idaho index Corporate;Bedfordshire;2020-05-06;2020-05-06;Rupiah;../fake-data/blob/hipster.png;image/png
6;El Salvador Colon US Dollar Ne;Creative;portals Enterprise-wide black;Tasty Plastic Sausages;array open-source;synthesize Berkshire 1080p;2020-05-05;2020-05-05;Sports Communications Dynamic;../fake-data/blob/hipster.png;image/png
7;brand;Team-oriented Fantastic Grass-;Facilitator;Automotive grey compelling;Dong;dynamic cyan;2020-05-05;2020-05-06;eyeballs connecting hacking;../fake-data/blob/hipster.png;image/png
8;Fantastic Concrete Hat Awesome;American Samoa Small SDD;Prairie experiences;Bedfordshire SAS;compress RSS;scale e-business Investor;2020-05-05;2020-05-06;Legacy;../fake-data/blob/hipster.png;image/png
9;world-class Investment Account;Bacon user-centric Fantastic F;Heard Island and McDonald Islands bandwidth-monitored installation;PCI SMTP;override magenta copy;ADP policy copy;2020-05-06;2020-05-05;solid state;../fake-data/blob/hipster.png;image/png
10;Maine Tuna;back up;JBOD;firewall matrix;Mauritania;withdrawal grey;2020-05-06;2020-05-05;Liaison Planner;../fake-data/blob/hipster.png;image/png
