id;tcd_code;tcd_entity_group_cd;tcd_desc;tcd_enabled_ind
1;index;motivating International;Credit Card Account Knolls;true
2;Investor Clothing Division;salmon Intranet Sleek Steel Salad;array Accounts Wyoming;true
3;Solutions;interfaces;Wooden connect;false
4;homogeneous;static;systemic;true
5;Cross-platform programming Isle;Implementation;knowledge base;true
6;attitude Inverse;Direct Gourde US Dollar withdrawal;Frozen;false
7;Cotton Operations Money Market Account;Handmade Cotton Chips indigo Run;Riel collaboration;false
8;Rustic Steel Hat Money Market Account Steel;Buckinghamshire;FTP transmitter;false
9;initiative;olive Credit Card Account;payment connecting;true
10;Investor intermediate Beauty;copying;programming optimal;true
