id;lkc_code;lkc_sub_code;lkc_sort;lkc_enabled_ind;lkc_desc
1;driver integrate;override User-centric;feed Multi-channelled;true;Pakistan Rupee Bike
2;Open-source;neural Bedfordshire;paradigm adapter Specialist;false;Kansas
3;Accountability multimedia Rese;Cambridgeshire;ROI Soft;true;back up Senegal
4;Data;Ridges Hong Kong Dollar Pizza;Visionary Cordoba Oro;true;wireless Towels
5;generate Checking Account;Product;Advanced;false;Right-sized Square Games
6;policy Fantastic hacking;program definition;Bedfordshire Israel;true;Pound Sterling deliverables cross-platform
7;Object-based Configuration;Credit Card Account reboot Rus;New Hampshire transmitter;false;global Central
8;Outdoors Rue;Metal hacking;XSS;true;Frozen distributed Pines
9;Thailand analyzing Keyboard;US Dollar cohesive;communities Unbranded;false;Buckinghamshire
10;Multi-layered;Senior;Fantastic Saint Helena Pound D;true;Tasty
