id;brn_nbr;brn_name;brn_code;brn_short_name;brn_address_1;brn_address_2;brn_city;brn_state_cd;brn_zip;brn_enabled_ind;brn_regioin_cd;brn_service_type_cd
1;California Baby Public-key;Configuration leading edge green;North Carolina;frame SCSI;Engineer Towels;1080p;program North Korean Won Frozen;Haven violet Home;Mobility;true;salmon Chips;orchid Awesome
2;neural-net AI Gloves;back-end Lebanese Pound withdrawal;withdrawal deposit;Faroe Islands Nicaragua naviga;mobile;deposit;GB;Marketing Practical;copying artificial intelligenc;true;Gardens Assistant CFA Franc BE;Sausages Avon Syrian Pound
3;mindshare East Caribbean Dolla;Gorgeous Cotton Pants quantifying;firewall Customer;Metrics Metical;SDD French Southern Territories;Steel;strategize Auto Loan Account;Designer Buckinghamshire Direc;human-resource;true;Tools Garden yellow;Granite strategy Home Loan Acc
4;throughput Shoes;Tasty Plastic Shoes Credit Card Account;Handmade Outdoors;robust Home Loan Account;Manager SAS;Multi-tiered mesh Mouse;Representative Mississippi calculate;Down-sized;Quality;false;Facilitator Hryvnia;UIC-Franc
5;payment Tuna proactive;customer loyalty;Stand-alone Factors;index web-enabled;Home Loan Account Wisconsin;knowledge user;Gourde US Dollar Investment Account;Programmable Automotive Vermon;Balanced solution-oriented;false;teal concept Infrastructure;productivity Grocery
6;sticky;payment Cedi;scalable connecting;Configuration;reboot withdrawal;Shoes Unbranded Bermudian Dollar (customarily known as Bermuda Dollar);Customer Sleek Alabama;Cotton;Metal;false;PNG Quality;International matrix Bedfordsh
7;Nicaragua e-business Engineer;blue Web;Metrics Principal 24/365;Orchard Solutions;violet Principal;synergies Wooden Up-sized;override United States of America;embrace Handmade;Data paradigms;true;payment;Wyoming
8;Integration Customer Regional;Home Loan Account Cambridgeshire;killer Jewelery scalable;Gorgeous Crossing;Engineer Island;bluetooth white Auto Loan Account;turquoise;multi-byte;synergy;true;Soap;FTP Sleek Granite Chair supply
9;zero defect;deposit;port IB;attitude-oriented Small Soft S;database relationships;payment middleware Infrastructure;Infrastructure;Communications panel;AI;true;withdrawal Implementation Cros;productize
10;Bahamian Dollar payment cyan;Managed;black syndicate;Berkshire CSS;approach Rustic Steel Soap;vertical Phased customized;pixel Hryvnia;Bedfordshire proactive;Pa'anga Handcrafted;false;blue;Steel global hack
