id;sac_access_key;sac_access_type_cd;sac_access_value;sac_allowed_ind
1;Heights;transmitting Fantastic Soft Sh;Chief withdrawal COM;false
2;Lakes salmon Gorgeous;back-end Louisiana;Berkshire;false
3;bus customized Marketing;compress auxiliary Berkshire;productize;false
4;Credit Card Account;Intelligent Kids Practical Gra;Marketing;true
5;Minnesota Ball;Sharable;alarm;true
6;Direct Incredible Internal;Soft THX Trinidad and Tobago D;Interactions matrix;true
7;Metal Sleek Wooden Chair Louisiana;B2C Operations;PCI Mills action-items;false
8;Operations deposit;transparent;B2C scalable;true
9;Secured;Coordinator Intelligent;Cotton;true
10;technologies;optical Hawaii;Congolese Franc District Checking Account;false
