id;ocm_comment_type_cd;ocm_comment_sub_type_cd;ocm_comment_by;ocm_comment_date;ocm_comment_imp_ind;ocm_comment
1;interface optimize open-source;Future matrix;methodologies application;2020-05-06;false;Home Loan Account
2;Fresh;service-desk;demand-driven Forint;2020-05-06;true;optimize Zimbabwe Dollar Dynamic
3;Personal Loan Account Books;SDD primary encompassing;olive Horizontal;2020-05-05;true;Designer Throughway
4;Crescent quantify;out-of-the-box;PCI homogeneous Shoes;2020-05-05;false;bypass XML
5;Chief;JSON EXE Avon;Michigan;2020-05-06;true;haptic ADP
6;SSL turquoise;Central Small;e-business red throughput;2020-05-06;true;Human Identity
7;Handmade;white;Internal Taka open-source;2020-05-06;true;generating virtual
8;web services;Profit-focused deposit;revolutionary SQL Germany;2020-05-05;false;incubate
9;Unbranded Wooden Chair;leading-edge;Berkshire Personal Loan Accoun;2020-05-06;true;hierarchy
10;monetize Personal Loan Account;deposit quantifying Silver;SQL microchip Hong Kong Dollar;2020-05-05;true;Intelligent Frozen Salad
