id;tcp_tcd_code;tcp_param_name;tcp_param_desc;tcp_enabled_ind;tcp_param_data_type_cd;tcp_param_length;tcp_default_value;tcp_param_lov_validation_ind;tcp_param_lkt_type
1;bluetooth;transmitting;District;false;Web;Sharable human-resource driver;payment Global Manager;false;Handmade Concrete Computer dig
2;Research;Investment Account salmon;tan Handcrafted Wooden Keyboard mesh;true;object-oriented override Alger;system Small Fresh Ball Unbran;Fantastic Iranian Rial;false;relationships web-readiness
3;Bosnia and Herzegovina web-ena;Supervisor Beauty;reboot;false;Concrete payment;Product Concrete Alabama;Buckinghamshire Cross-group EXE;false;connect
4;cross-media tertiary metrics;Home Kuwaiti Dinar strategize;Central;true;efficient program Home;Agent Technician Bedfordshire;Ball Developer;true;extensible solid state
5;Generic ivory haptic;metrics Steel;Direct program;false;Rubber leverage;copy Yen Producer;connecting Senior;false;PCI Strategist
6;withdrawal;utilize RAM;Chicken HDD;true;Outdoors;withdrawal;web-readiness Branding;false;firewall
7;Savings Account;models 1080p synthesizing;Lari Outdoors;true;Self-enabling system engine Re;application systems Money Mark;Home experiences;true;Fresh Sleek FTP
8;Optimization Refined;Wooden help-desk neural;Buckinghamshire;true;Trinidad and Tobago Dollar;compressing Euro Books;Chief;false;invoice analyzing parse
9;budgetary management Home Loan;Supervisor New Taiwan Dollar R;Licensed Outdoors;false;Handcrafted District Director;strategize;Cloned;true;attitude Agent
10;eyeballs;Coordinator Auto Loan Account;Convertible Marks Pitcairn Islands Beauty;true;matrix technologies intranet;Grocery;hack Ball Ford;true;transmitting back up
