id;txn_entity_id;txn_entity_nbr;txn_tcd_code;txn_post_dt;txn_status_cd
1;85813;payment Fantastic;yellow array integrate;2020-05-05;Swedish Krona Algerian Dinar M
2;7144;digital executive Executive;1080p;2020-05-05;Liaison
3;56384;back-end Toys District;embrace;2020-05-06;Light AGP Rwanda
4;90668;Product Minnesota paradigms;synthesize bypass withdrawal;2020-05-05;bypass National
5;27959;Mountains sky blue;transmitting;2020-05-06;optical
6;37017;Borders;proactive;2020-05-06;Alabama sticky
7;69047;Bedfordshire navigate;vortals JBOD;2020-05-06;web-readiness Slovenia
8;31086;Brook;multi-state copying;2020-05-06;back up Roads
9;91305;deposit Extended;indexing multi-byte;2020-05-05;Incredible Granite Hat grid-en
10;14836;IB Outdoors;seize Books;2020-05-05;Borders strategic
