id;cmp_nbr;cmp_name;cmp_service_type_cd;cmp_short_name;cmp_status_cd;cmp_type_cd;cmp_address_1;cmp_address_2;cmp_city;cmp_state_cd;cmp_zip;cmp_enabled_ind
1;input;invoice;Global Awesome Rubber Chicken ;Buckinghamshire Fiji;parsing policy;bluetooth Holy See (Vatican Ci;Savings Account IB Home Loan Account;ADP Parks SAS;Developer;infrastructures THX;override;false
2;mobile Rufiyaa;RAM Unbranded help-desk;Savings Account Administrator;Money Market Account Avon blac;logistical Macao;interfaces Applications Square;integrate Massachusetts Sports;tan Music transmitting;Grocery;primary Research;optimize;true
3;Mali Marketing Compatible;olive;protocol;open system leverage;repurpose cross-platform;Chair open-source;Harbor;Wooden;Cove Unbranded Concrete Towels;Cambridgeshire;Arkansas overriding Robust;false
4;New Leu Toys;Jewelery;deposit syndicate Spur;invoice Wooden;paradigm Regional;Paradigm SMTP Associate;Avon;Chair backing up Borders;Guadeloupe Home Loan Account S;Liaison sensor;process improvement;true
5;Applications;value-added;Clothing internet solution;Incredible Practical Granite C;Sports foreground;Ergonomic Plastic Pizza Irania;Grove Seamless;RAM;Operations Ghana Turks and Cai;application;Automotive quantifying;true
6;Senior Home;reintermediate Direct Director;object-oriented payment;Ergonomic Fresh Computer;regional Small override;Data Configuration;embrace input Personal Loan Account;Usability programming Guyana;Shoes;Idaho;Oman;false
7;circuit cutting-edge Technicia;Inverse Small Mobility;Expanded secondary;Outdoors;Bahamian Dollar Tools;payment target;synthesizing Agent;Small North Carolina Honduras;orchid SDD;Armenian Dram database port;Australian Dollar;false
8;incubate;generate Wooden Ergonomic;payment Producer United States;killer Unbranded Soft Keyboard;Lesotho Incredible;iterate Generic Wooden Chair;gold relationships wireless;Borders JSON;US Dollar New Mexico Practical;card;navigating deploy;false
9;Home Loan Account Handcrafted ;Creative Virginia Pennsylvania;Pitcairn Islands;Roads Azerbaijanian Manat;Tuvalu Direct;Executive;Configuration Bedfordshire pixel;Distributed multi-byte orchestrate;Fantastic;envisioneer empowering mesh;bluetooth Heard Island and McD;false
10;bottom-line Zloty;Keyboard Mouse;Rubber Practical Officer;wireless;Senegal Bedfordshire end-to-en;Clothing yellow Licensed;Rustic solid state harness;Arizona strategic salmon;strategic;green Buckinghamshire reboot;Maine;true
