id;org_nbr;org_name;org_short_name;org_address_1;org_address_2;org_city;org_state_cd;org_zip
1;bus;Awesome Granite Bike monitor;Intelligent Kids morph;invoice Chicken;disintermediate web services Shoes;portals;Ball Unbranded dynamic;optimize Gold Team-oriented
2;Refined Metal;multi-byte;Consultant;client-driven Bedfordshire Bahamas;Unbranded Berkshire;Tactics Liberian Dollar;Function-based connecting Berkshire;Unbranded Cotton Ball Buckinghamshire Auto Loan Account
3;Bike District Car;ROI Granite Panama;3rd generation;Facilitator Personal Loan Account;white;Frozen Reverse-engineered;Regional Identity Gambia;JBOD application Center
4;Bedfordshire;Soft Buckinghamshire contingen;Buckinghamshire Bedfordshire;empower;synthesizing Florida;Electronics;Uzbekistan California;interactive
5;Computer Glen Estonia;digital Director;Small experiences Rustic;Incredible Frozen Pizza;circuit generate Home Loan Account;Computers;Illinois Toys intranet;Computer orange Rustic
6;schemas payment;pricing structure PNG evolve;quantify Hawaii Progressive;bricks-and-clicks payment National;cyan Agent;cross-media;Computer hack Causeway;IB Table wireless
7;Intelligent Metal Hat clear-th;Pa'anga Optional port;Shoes sensor;Creative;next-generation Dynamic;parse payment;Latvian Lats;Checking Account Auto Loan Account
8;wireless New Mexico Cambridges;Practical;Assistant Granite;synthesize Pula;Customizable;Clothing internet solution alarm;Auto Loan Account Wooden;Small e-business Analyst
9;RSS Rubber;composite generating UIC-Franc;Ireland;Solomon Islands Dollar;white Producer;e-business;Berkshire Avon;Re-engineered HTTP
10;compelling TCP mint green;Assurance Chair circuit;Ergonomic Steel Bacon Direct;Chair Tennessee;XML;demand-driven;connect Rustic;Concrete XML
